# Experiment 02 Phase 4 — RAW SAMPLED LATENCIES, one row per sample.
# measured quantity = producer_ready -> consumer_received (std::chrono::steady_clock).
# It INCLUDES the producer's retry/backpressure wait, the queue's release/acquire
# synchronization, the payload copy and the consumer's empty-retry loop. It is NOT
# pure queue residence time, and it is NOT a per-call queue cost.
# queue=SpscSeparatedBaselineRingBuffer (separated cursors, baseline remote cursor loads, no remote-cursor cache)
# session=2 message_bytes=64 capacity=4096 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# Every distribution here is PER REPETITION. No repetition is pooled into another.
# latency_ticks is the RAW steady_clock duration count, unrounded. latency_ns is
# ticks * 1, an EXACT integer conversion (the build fails if the period does
# not divide into whole nanoseconds), so latency_ns is never a rounded latency.
# This file is written only after every thread has joined; nothing in the timed
# transfer performs I/O.
session,message_bytes,capacity,repetition,sample_index,latency_ticks,latency_ns
2,64,4096,1,0,133291,133291
2,64,4096,1,1,145125,145125
2,64,4096,1,2,148833,148833
2,64,4096,1,3,151334,151334
2,64,4096,1,4,151375,151375
2,64,4096,1,5,146958,146958
2,64,4096,1,6,157333,157333
2,64,4096,1,7,154708,154708
2,64,4096,1,8,203333,203333
2,64,4096,1,9,282875,282875
2,64,4096,1,10,284625,284625
2,64,4096,1,11,252334,252334
2,64,4096,1,12,226083,226083
2,64,4096,1,13,145291,145291
2,64,4096,1,14,130917,130917
2,64,4096,1,15,131333,131333
2,64,4096,1,16,131208,131208
2,64,4096,1,17,131500,131500
2,64,4096,1,18,131958,131958
2,64,4096,1,19,131750,131750
2,64,4096,1,20,131542,131542
2,64,4096,1,21,131500,131500
2,64,4096,1,22,131500,131500
2,64,4096,1,23,131791,131791
2,64,4096,1,24,132875,132875
2,64,4096,1,25,132958,132958
2,64,4096,1,26,132584,132584
2,64,4096,1,27,133042,133042
2,64,4096,1,28,132083,132083
2,64,4096,1,29,131708,131708
2,64,4096,1,30,131834,131834
2,64,4096,1,31,131500,131500
2,64,4096,1,32,131333,131333
2,64,4096,1,33,131500,131500
2,64,4096,1,34,131541,131541
2,64,4096,1,35,131417,131417
2,64,4096,1,36,131417,131417
2,64,4096,1,37,131625,131625
2,64,4096,1,38,131291,131291
2,64,4096,1,39,131125,131125
2,64,4096,1,40,131209,131209
2,64,4096,1,41,131625,131625
2,64,4096,1,42,131750,131750
2,64,4096,1,43,131875,131875
2,64,4096,1,44,131958,131958
2,64,4096,1,45,131458,131458
2,64,4096,1,46,131625,131625
2,64,4096,1,47,131250,131250
2,64,4096,1,48,131292,131292
2,64,4096,1,49,131500,131500
2,64,4096,1,50,131250,131250
2,64,4096,1,51,131375,131375
2,64,4096,1,52,131500,131500
2,64,4096,1,53,131083,131083
2,64,4096,1,54,131500,131500
2,64,4096,1,55,131708,131708
2,64,4096,1,56,132125,132125
2,64,4096,1,57,132166,132166
2,64,4096,1,58,132209,132209
2,64,4096,1,59,132375,132375
2,64,4096,1,60,132042,132042
2,64,4096,1,61,132042,132042
2,64,4096,1,62,131875,131875
2,64,4096,1,63,131875,131875
2,64,4096,1,64,131916,131916
2,64,4096,1,65,131958,131958
2,64,4096,1,66,131791,131791
2,64,4096,1,67,132000,132000
2,64,4096,1,68,131750,131750
2,64,4096,1,69,131583,131583
2,64,4096,1,70,128083,128083
2,64,4096,1,71,155084,155084
2,64,4096,1,72,203500,203500
2,64,4096,1,73,249291,249291
2,64,4096,1,74,265792,265792
2,64,4096,1,75,285666,285666
2,64,4096,1,76,306791,306791
2,64,4096,1,77,320125,320125
2,64,4096,1,78,323166,323166
2,64,4096,1,79,317166,317166
2,64,4096,1,80,314208,314208
2,64,4096,1,81,316291,316291
2,64,4096,1,82,317167,317167
2,64,4096,1,83,321083,321083
2,64,4096,1,84,321416,321416
2,64,4096,1,85,321250,321250
2,64,4096,1,86,320833,320833
2,64,4096,1,87,320750,320750
2,64,4096,1,88,320500,320500
2,64,4096,1,89,319833,319833
2,64,4096,1,90,321416,321416
2,64,4096,1,91,316917,316917
2,64,4096,1,92,308000,308000
2,64,4096,1,93,265292,265292
2,64,4096,1,94,258084,258084
2,64,4096,1,95,234541,234541
2,64,4096,1,96,235625,235625
2,64,4096,1,97,243334,243334
2,64,4096,1,98,252042,252042
2,64,4096,1,99,264792,264792
2,64,4096,1,100,260833,260833
2,64,4096,1,101,276000,276000
2,64,4096,1,102,265000,265000
2,64,4096,1,103,273375,273375
2,64,4096,1,104,272208,272208
2,64,4096,1,105,284458,284458
2,64,4096,1,106,262500,262500
2,64,4096,1,107,283750,283750
2,64,4096,1,108,296542,296542
2,64,4096,1,109,309417,309417
2,64,4096,1,110,316208,316208
2,64,4096,1,111,327000,327000
2,64,4096,1,112,322208,322208
2,64,4096,1,113,318709,318709
2,64,4096,1,114,319583,319583
2,64,4096,1,115,316875,316875
2,64,4096,1,116,316042,316042
2,64,4096,1,117,315125,315125
2,64,4096,1,118,317375,317375
2,64,4096,1,119,316583,316583
2,64,4096,1,120,316333,316333
2,64,4096,1,121,315375,315375
2,64,4096,1,122,308333,308333
2,64,4096,1,123,264375,264375
2,64,4096,1,124,221208,221208
2,64,4096,1,125,186791,186791
2,64,4096,1,126,148417,148417
2,64,4096,1,127,151166,151166
2,64,4096,1,128,150291,150291
2,64,4096,1,129,143250,143250
2,64,4096,1,130,142833,142833
2,64,4096,1,131,144042,144042
2,64,4096,1,132,143917,143917
2,64,4096,1,133,143708,143708
2,64,4096,1,134,142333,142333
2,64,4096,1,135,143417,143417
2,64,4096,1,136,143500,143500
2,64,4096,1,137,143583,143583
2,64,4096,1,138,142167,142167
2,64,4096,1,139,143625,143625
