# Experiment 02 Phase 4 — RAW SAMPLED LATENCIES, one row per sample.
# measured quantity = producer_ready -> consumer_received (std::chrono::steady_clock).
# It INCLUDES the producer's retry/backpressure wait, the queue's release/acquire
# synchronization, the payload copy and the consumer's empty-retry loop. It is NOT
# pure queue residence time, and it is NOT a per-call queue cost.
# queue=SpscSeparatedBaselineRingBuffer (separated cursors, baseline remote cursor loads, no remote-cursor cache)
# session=4 message_bytes=64 capacity=1024 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# Every distribution here is PER REPETITION. No repetition is pooled into another.
# latency_ticks is the RAW steady_clock duration count, unrounded. latency_ns is
# ticks * 1, an EXACT integer conversion (the build fails if the period does
# not divide into whole nanoseconds), so latency_ns is never a rounded latency.
# This file is written only after every thread has joined; nothing in the timed
# transfer performs I/O.
session,message_bytes,capacity,repetition,sample_index,latency_ticks,latency_ns
4,64,1024,1,0,125,125
4,64,1024,1,1,83,83
4,64,1024,1,2,125,125
4,64,1024,1,3,125,125
4,64,1024,1,4,125,125
4,64,1024,1,5,83,83
4,64,1024,1,6,83,83
4,64,1024,1,7,208,208
4,64,1024,1,8,83,83
4,64,1024,1,9,83,83
4,64,1024,1,10,84,84
4,64,1024,1,11,125,125
4,64,1024,1,12,83,83
4,64,1024,1,13,83,83
4,64,1024,1,14,84,84
4,64,1024,1,15,83,83
4,64,1024,1,16,84,84
4,64,1024,1,17,125,125
4,64,1024,1,18,83,83
4,64,1024,1,19,84,84
4,64,1024,1,20,125,125
4,64,1024,1,21,84,84
4,64,1024,1,22,83,83
4,64,1024,1,23,84,84
4,64,1024,1,24,83,83
4,64,1024,1,25,83,83
4,64,1024,1,26,83,83
4,64,1024,1,27,125,125
4,64,1024,1,28,375,375
4,64,1024,1,29,83,83
4,64,1024,1,30,84,84
4,64,1024,1,31,125,125
4,64,1024,1,32,84,84
4,64,1024,1,33,83,83
4,64,1024,1,34,84,84
4,64,1024,1,35,83,83
4,64,1024,1,36,84,84
4,64,1024,1,37,84,84
4,64,1024,1,38,125,125
4,64,1024,1,39,125,125
4,64,1024,1,40,83,83
4,64,1024,1,41,125,125
4,64,1024,1,42,84,84
4,64,1024,1,43,83,83
4,64,1024,1,44,84,84
4,64,1024,1,45,42,42
4,64,1024,1,46,125,125
4,64,1024,1,47,83,83
4,64,1024,1,48,84,84
4,64,1024,1,49,125,125
4,64,1024,1,50,292,292
4,64,1024,1,51,125,125
4,64,1024,1,52,84,84
4,64,1024,1,53,291,291
4,64,1024,1,54,208,208
4,64,1024,1,55,83,83
4,64,1024,1,56,83,83
4,64,1024,1,57,125,125
4,64,1024,1,58,125,125
4,64,1024,1,59,84,84
4,64,1024,1,60,125,125
4,64,1024,1,61,291,291
4,64,1024,1,62,83,83
4,64,1024,1,63,125,125
4,64,1024,1,64,83,83
4,64,1024,1,65,84,84
4,64,1024,1,66,83,83
4,64,1024,1,67,83,83
4,64,1024,1,68,83,83
4,64,1024,1,69,542,542
4,64,1024,1,70,125,125
4,64,1024,1,71,84,84
4,64,1024,1,72,83,83
4,64,1024,1,73,208,208
4,64,1024,1,74,333,333
4,64,1024,1,75,83,83
4,64,1024,1,76,500,500
4,64,1024,1,77,84,84
4,64,1024,1,78,83,83
4,64,1024,1,79,83,83
4,64,1024,1,80,542,542
4,64,1024,1,81,125,125
4,64,1024,1,82,83,83
4,64,1024,1,83,333,333
4,64,1024,1,84,83,83
4,64,1024,1,85,84,84
4,64,1024,1,86,83,83
4,64,1024,1,87,167,167
4,64,1024,1,88,166,166
4,64,1024,1,89,83,83
4,64,1024,1,90,125,125
4,64,1024,1,91,84,84
4,64,1024,1,92,84,84
4,64,1024,1,93,83,83
4,64,1024,1,94,84,84
4,64,1024,1,95,83,83
4,64,1024,1,96,84,84
4,64,1024,1,97,125,125
4,64,1024,1,98,83,83
4,64,1024,1,99,83,83
4,64,1024,1,100,125,125
4,64,1024,1,101,83,83
4,64,1024,1,102,1250,1250
4,64,1024,1,103,83,83
4,64,1024,1,104,42,42
4,64,1024,1,105,333,333
4,64,1024,1,106,417,417
4,64,1024,1,107,125,125
4,64,1024,1,108,125,125
4,64,1024,1,109,1042,1042
4,64,1024,1,110,83,83
4,64,1024,1,111,84,84
4,64,1024,1,112,84,84
4,64,1024,1,113,125,125
4,64,1024,1,114,125,125
4,64,1024,1,115,83,83
4,64,1024,1,116,125,125
4,64,1024,1,117,125,125
4,64,1024,1,118,84,84
4,64,1024,1,119,125,125
4,64,1024,1,120,84,84
4,64,1024,1,121,83,83
4,64,1024,1,122,83,83
4,64,1024,1,123,334,334
4,64,1024,1,124,209,209
4,64,1024,1,125,83,83
4,64,1024,1,126,833,833
4,64,1024,1,127,83,83
4,64,1024,1,128,125,125
4,64,1024,1,129,83,83
4,64,1024,1,130,791,791
4,64,1024,1,131,83,83
4,64,1024,1,132,125,125
4,64,1024,1,133,83,83
4,64,1024,1,134,125,125
4,64,1024,1,135,84,84
4,64,1024,1,136,125,125
