# Experiment 02 Phase 4 — RAW SAMPLED LATENCIES, one row per sample.
# measured quantity = producer_ready -> consumer_received (std::chrono::steady_clock).
# It INCLUDES the producer's retry/backpressure wait, the queue's release/acquire
# synchronization, the payload copy and the consumer's empty-retry loop. It is NOT
# pure queue residence time, and it is NOT a per-call queue cost.
# queue=SpscSeparatedBaselineRingBuffer (separated cursors, baseline remote cursor loads, no remote-cursor cache)
# session=3 message_bytes=64 capacity=4096 messages=10000000 settling_prefix=100000 sample_interval=1021 warmup_reps=1 measured_reps=5
# Every distribution here is PER REPETITION. No repetition is pooled into another.
# latency_ticks is the RAW steady_clock duration count, unrounded. latency_ns is
# ticks * 1, an EXACT integer conversion (the build fails if the period does
# not divide into whole nanoseconds), so latency_ns is never a rounded latency.
# This file is written only after every thread has joined; nothing in the timed
# transfer performs I/O.
session,message_bytes,capacity,repetition,sample_index,latency_ticks,latency_ns
3,64,4096,1,0,116125,116125
3,64,4096,1,1,116209,116209
3,64,4096,1,2,116208,116208
3,64,4096,1,3,116167,116167
3,64,4096,1,4,116375,116375
3,64,4096,1,5,116459,116459
3,64,4096,1,6,116583,116583
3,64,4096,1,7,116375,116375
3,64,4096,1,8,116458,116458
3,64,4096,1,9,116250,116250
3,64,4096,1,10,116208,116208
3,64,4096,1,11,116167,116167
3,64,4096,1,12,116083,116083
3,64,4096,1,13,115917,115917
3,64,4096,1,14,116209,116209
3,64,4096,1,15,116083,116083
3,64,4096,1,16,116084,116084
3,64,4096,1,17,115916,115916
3,64,4096,1,18,116583,116583
3,64,4096,1,19,116292,116292
3,64,4096,1,20,116208,116208
3,64,4096,1,21,116417,116417
3,64,4096,1,22,116542,116542
3,64,4096,1,23,116417,116417
3,64,4096,1,24,116292,116292
3,64,4096,1,25,116000,116000
3,64,4096,1,26,115917,115917
3,64,4096,1,27,115833,115833
3,64,4096,1,28,115875,115875
3,64,4096,1,29,116042,116042
3,64,4096,1,30,116292,116292
3,64,4096,1,31,116292,116292
3,64,4096,1,32,116292,116292
3,64,4096,1,33,116208,116208
3,64,4096,1,34,116667,116667
3,64,4096,1,35,116666,116666
3,64,4096,1,36,116625,116625
3,64,4096,1,37,119166,119166
3,64,4096,1,38,154708,154708
3,64,4096,1,39,177125,177125
3,64,4096,1,40,202375,202375
3,64,4096,1,41,231208,231208
3,64,4096,1,42,273917,273917
3,64,4096,1,43,280709,280709
3,64,4096,1,44,275416,275416
3,64,4096,1,45,268291,268291
3,64,4096,1,46,250375,250375
3,64,4096,1,47,258375,258375
3,64,4096,1,48,262375,262375
3,64,4096,1,49,268500,268500
3,64,4096,1,50,259791,259791
3,64,4096,1,51,252167,252167
3,64,4096,1,52,268875,268875
3,64,4096,1,53,264417,264417
3,64,4096,1,54,252458,252458
3,64,4096,1,55,248292,248292
3,64,4096,1,56,243833,243833
3,64,4096,1,57,247666,247666
3,64,4096,1,58,250333,250333
3,64,4096,1,59,259667,259667
3,64,4096,1,60,250791,250791
3,64,4096,1,61,241083,241083
3,64,4096,1,62,251959,251959
3,64,4096,1,63,235334,235334
3,64,4096,1,64,235291,235291
3,64,4096,1,65,239959,239959
3,64,4096,1,66,224833,224833
3,64,4096,1,67,227417,227417
3,64,4096,1,68,241209,241209
3,64,4096,1,69,234625,234625
3,64,4096,1,70,244541,244541
3,64,4096,1,71,259041,259041
3,64,4096,1,72,262709,262709
3,64,4096,1,73,285125,285125
3,64,4096,1,74,280042,280042
3,64,4096,1,75,266208,266208
3,64,4096,1,76,247208,247208
3,64,4096,1,77,227500,227500
3,64,4096,1,78,222541,222541
3,64,4096,1,79,221959,221959
3,64,4096,1,80,224250,224250
3,64,4096,1,81,220333,220333
3,64,4096,1,82,220542,220542
3,64,4096,1,83,221791,221791
3,64,4096,1,84,223208,223208
3,64,4096,1,85,224708,224708
3,64,4096,1,86,228708,228708
3,64,4096,1,87,234125,234125
3,64,4096,1,88,228041,228041
3,64,4096,1,89,226042,226042
3,64,4096,1,90,225375,225375
3,64,4096,1,91,213792,213792
3,64,4096,1,92,215958,215958
3,64,4096,1,93,215416,215416
3,64,4096,1,94,212542,212542
3,64,4096,1,95,217958,217958
3,64,4096,1,96,237792,237792
3,64,4096,1,97,238000,238000
3,64,4096,1,98,257417,257417
3,64,4096,1,99,253500,253500
3,64,4096,1,100,233500,233500
3,64,4096,1,101,251417,251417
3,64,4096,1,102,235792,235792
3,64,4096,1,103,246666,246666
3,64,4096,1,104,250208,250208
3,64,4096,1,105,238833,238833
3,64,4096,1,106,240208,240208
3,64,4096,1,107,252833,252833
3,64,4096,1,108,253250,253250
3,64,4096,1,109,252458,252458
3,64,4096,1,110,262250,262250
3,64,4096,1,111,236708,236708
3,64,4096,1,112,246750,246750
3,64,4096,1,113,255000,255000
3,64,4096,1,114,259000,259000
3,64,4096,1,115,233666,233666
3,64,4096,1,116,200708,200708
3,64,4096,1,117,160250,160250
3,64,4096,1,118,113042,113042
3,64,4096,1,119,116458,116458
3,64,4096,1,120,118583,118583
3,64,4096,1,121,126667,126667
3,64,4096,1,122,129250,129250
3,64,4096,1,123,129125,129125
3,64,4096,1,124,127083,127083
3,64,4096,1,125,118708,118708
3,64,4096,1,126,116667,116667
3,64,4096,1,127,116208,116208
3,64,4096,1,128,116166,116166
3,64,4096,1,129,116167,116167
3,64,4096,1,130,116125,116125
3,64,4096,1,131,115958,115958
3,64,4096,1,132,115959,115959
3,64,4096,1,133,116083,116083
3,64,4096,1,134,116625,116625
3,64,4096,1,135,116250,116250
3,64,4096,1,136,116000,116000
3,64,4096,1,137,115750,115750
3,64,4096,1,138,116000,116000
3,64,4096,1,139,115958,115958
3,64,4096,1,140,116084,116084
3,64,4096,1,141,116000,116000
3,64,4096,1,142,116333,116333
3,64,4096,1,143,116208,116208
3,64,4096,1,144,116125,116125
3,64,4096,1,145,116000,116000
3,64,4096,1,146,116500,116500
3,64,4096,1,147,116291,116291
3,64,4096,1,148,116334,116334
3,64,4096,1,149,116000,116000
3,64,4096,1,150,116625,116625
3,64,4096,1,151,116333,116333
3,64,4096,1,152,116083,116083
3,64,4096,1,153,116209,116209
3,64,4096,1,154,115958,115958
3,64,4096,1,155,115833,115833
3,64,4096,1,156,115958,115958
3,64,4096,1,157,115875,115875
3,64,4096,1,158,116542,116542
3,64,4096,1,159,116500,116500
3,64,4096,1,160,116583,116583
3,64,4096,1,161,116667,116667
3,64,4096,1,162,116750,116750
3,64,4096,1,163,116417,116417
3,64,4096,1,164,116209,116209
3,64,4096,1,165,116167,116167
3,64,4096,1,166,116334,116334
3,64,4096,1,167,116208,116208
3,64,4096,1,168,116125,116125
3,64,4096,1,169,116084,116084
3,64,4096,1,170,116375,116375
3,64,4096,1,171,117042,117042
3,64,4096,1,172,118916,118916
3,64,4096,1,173,120791,120791
3,64,4096,1,174,127542,127542
3,64,4096,1,175,137292,137292
3,64,4096,1,176,137917,137917
3,64,4096,1,177,138500,138500
3,64,4096,1,178,135041,135041
3,64,4096,1,179,127042,127042
3,64,4096,1,180,126917,126917
3,64,4096,1,181,126791,126791
3,64,4096,1,182,126875,126875
3,64,4096,1,183,126583,126583
3,64,4096,1,184,126833,126833
3,64,4096,1,185,126458,126458
3,64,4096,1,186,126708,126708
3,64,4096,1,187,125791,125791
3,64,4096,1,188,124916,124916
3,64,4096,1,189,124334,124334
3,64,4096,1,190,124584,124584
3,64,4096,1,191,124583,124583
3,64,4096,1,192,124375,124375
3,64,4096,1,193,124333,124333
3,64,4096,1,194,124458,124458
3,64,4096,1,195,124333,124333
3,64,4096,1,196,124042,124042
